"site","survey_effort_minutes","count","survey_time","wet_or_dry","year"
"rabbit_stream",132,0,"night","wet",2013
"rabbit_stream",162,0,"night","wet",2013
"rabbit_stream",450,0,"day","dry",2014
"rabbit_stream",432,0,"night","dry",2014
"rabbit_stream",345,1,"day","dry",2014
"rabbit_stream",666,4,"day","dry",2014
"rabbit_stream",536,1,"day","wet",2014
"rabbit_stream",754,5,"day","wet",2014
"rabbit_stream",591,3,"day","wet",2015
"rabbit_stream",1314,9,"day","wet",2015
"rabbit_stream",366,3,"day","wet",2015
"rabbit_stream",148,2,"day","wet",2015
"rabbit_stream",648,5,"day","wet",2015
"rabbit_stream",264,1,"day","wet",2015
"rabbit_stream",884,16,"day","wet",2016
"rabbit_stream",666,20,"day","wet",2016
"rabbit_stream",408,15,"day","wet",2016
"rabbit_stream",390,15,"night","wet",2016
"rabbit_stream",80,0,"day","wet",2016
"rabbit_stream",456,2,"day","wet",2017
"rabbit_stream",130,13,"day","wet",2018
"rabbit_stream",418,14,"day","wet",2018
"rabbit_stream",186,0,"night","wet",2018
"rabbit_stream",220,5,"day","wet",2018
"rabbit_stream",322,17,"day","wet",2018
"rabbit_stream",904,18,"day","wet",2022
"rabbit_stream",488,8,"day","wet",2022
"guabal",380,0,"night","wet",2012
"guabal",980,2,"day","wet",2014
"guabal",180,1,"day","wet",2014
"guabal",288,0,"day","wet",2015
"guabal",420,1,"day","wet",2015
"guabal",459,1,"night","wet",2015
"guabal",420,1,"day","wet",2015
"guabal",459,1,"night","wet",2015
"guabal",309,1,"day","wet",2015
"guabal",272,0,"day","wet",2015
"guabal",308,0,"night","wet",2015
"guabal",270,0,"day","wet",2015
"guabal",600,1,"day","wet",2015
"guabal",158,0,"day","wet",2016
"guabal",228,0,"day","wet",2016
"guabal",735,0,"night","wet",2016
"guabal",252,0,"day","wet",2016
"guabal",268,1,"day","wet",2018
"guabal",238,1,"day","wet",2018
"guabal",196,0,"day","wet",2018
"guabal",116,0,"night","wet",2018
"guabal",144,1,"day","wet",2019
"guabal",315,0,"day","wet",2022
"guabal",112,0,"day","wet",2022
"guabal",366,0,"night","wet",2022
"guabal",150,0,"day","wet",2022
"guabal",252,2,"day","wet",2022
"guabal",237,2,"night","wet",2022
"guabal",254,2,"day","wet",2022
"guabal",468,2,"night","wet",2022
"guabal",4634,0,"day","wet",2022
"guabal",898,0,"day","dry",2023
"rio_marta",80,1,"day","wet",2012
"rio_marta",300,2,"day","wet",2012
"rio_marta",540,2,"night","wet",2012
"rio_marta",334,0,"day","wet",2012
"rio_marta",128,0,"day","wet",2013
"rio_marta",100,1,"day","wet",2013
"rio_marta",78,0,"day","wet",2013
"rio_marta",208,0,"night","wet",2014
"rio_marta",356,0,"day","wet",2014
"rio_marta",488,0,"day","wet",2014
"rio_marta",486,5,"day","wet",2015
"rio_marta",384,5,"night","wet",2015
"rio_marta",624,3,"day","wet",2015
"rio_marta",444,3,"night","wet",2015
"rio_marta",624,1,"day","wet",2015
"rio_marta",444,1,"night","wet",2015
"rio_marta",264,19,"day","wet",2015
"rio_marta",252,19,"night","wet",2015
"rio_marta",534,0,"day","wet",2015
"rio_marta",230,0,"day","dry",2016
"rio_marta",432,0,"night","dry",2016
"rio_marta",220,2,"day","dry",2016
"rio_marta",262,3,"day","dry",2016
"rio_marta",528,3,"night","dry",2016
"rio_marta",262,1,"day","dry",2016
"rio_marta",528,1,"night","dry",2016
"rio_marta",230,4,"day","dry",2016
"rio_marta",484,4,"night","dry",2016
"rio_marta",282,0,"day","dry",2016
"rio_marta",396,8,"day","wet",2016
"rio_marta",392,8,"night","wet",2016
"rio_marta",396,4,"day","wet",2016
"rio_marta",392,4,"night","wet",2016
"rio_marta",420,8,"day","wet",2016
"rio_marta",468,8,"day","wet",2016
"rio_marta",396,2,"day","wet",2018
"rio_marta",354,2,"day","wet",2018
"rio_marta",384,2,"night","wet",2018
"rio_marta",170,5,"day","wet",2018
"rio_tigrero",570,0,"day","wet",2012
"rio_tigrero",660,0,"day","wet",2012
"rio_tigrero",230,0,"day","wet",2012
"rio_tigrero",630,0,"day","wet",2012
"rio_tigrero",480,0,"day","wet",2013
"rio_tigrero",993,1,"day","wet",2013
"rio_tigrero",180,2,"day","wet",2013
"rio_tigrero",282,0,"day","wet",2013
"rio_tigrero",480,5,"day","wet",2013
"rio_tigrero",1095,8,"day","wet",2013
"rio_tigrero",904,0,"day","wet",2014
"rio_tigrero",360,5,"day","wet",2014
"rio_tigrero",816,15,"day","wet",2014
"rio_tigrero",873,3,"day","wet",2014
"rio_tigrero",1680,0,"day","wet",2014
"rio_tigrero",2754,23,"day","wet",2014
"rio_tigrero",2926,0,"day","wet",2014
"rio_tigrero",315,5,"day","wet",2015
"rio_tigrero",267,8,"day","wet",2015
"rio_tigrero",222,4,"day","wet",2015
"rio_tigrero",480,14,"day","wet",2015
"rio_tigrero",752,4,"day","wet",2015
"rio_tigrero",272,0,"day","wet",2016
"rio_tigrero",300,2,"day","wet",2016
"rio_tigrero",272,5,"day","wet",2016
"rio_tigrero",780,4,"day","wet",2016
"rio_tigrero",600,1,"day","wet",2016
"rio_tigrero",1615,11,"day","wet",2018
"rio_tigrero",748,13,"day","wet",2018
"rio_tigrero",570,8,"day","wet",2018
"rio_tigrero",620,7,"day","wet",2018
"rio_tigrero",712,9,"day","wet",2018
"rio_tigrero",519,0,"day","wet",2022
"rio_tigrero",240,0,"day","wet",2022
